"","CaseNum","SegmentNum","SegmentNumOverall","TaskType","User","FeatureName","Value"
"45",3,11,46,"Coagulation","Novice","DurationForce",6
"46",3,12,47,"Coagulation","Novice","DurationForce",16
"47",3,13,48,"Coagulation","Novice","DurationForce",14
"48",3,14,49,"Coagulation","Novice","DurationForce",17
"49",3,15,50,"Coagulation","Novice","DurationForce",10
"50",3,16,51,"Coagulation","Novice","DurationForce",38
"51",3,17,52,"Coagulation","Novice","DurationForce",18
"52",3,18,53,"Coagulation","Expert","DurationForce",7
"53",3,19,54,"Coagulation","Expert","DurationForce",18
"54",3,20,55,"Coagulation","Novice","DurationForce",20
"55",3,21,56,"Coagulation","Novice","DurationForce",10
"56",3,22,57,"Coagulation","Novice","DurationForce",12
"57",3,23,58,"Coagulation","Expert","DurationForce",6
"58",3,24,59,"Coagulation","Novice","DurationForce",20
"59",3,25,60,"Coagulation","Novice","DurationForce",8
"60",3,26,61,"Coagulation","Novice","DurationForce",10
"61",3,27,62,"Coagulation","Novice","DurationForce",10
"62",3,28,63,"Coagulation","Novice","DurationForce",9
"63",3,29,64,"Coagulation","Novice","DurationForce",6
"64",3,30,65,"Coagulation","Novice","DurationForce",14
"65",3,31,66,"Coagulation","Expert","DurationForce",19
"66",3,32,67,"Coagulation","Expert","DurationForce",12
"67",3,33,68,"Coagulation","Expert","DurationForce",9
"68",4,1,69,"Pulling","Expert","DurationForce",12
"69",4,2,70,"Pulling","Expert","DurationForce",13
"70",4,3,71,"Pulling","Expert","DurationForce",19
"71",4,4,72,"Manipulation","Expert","DurationForce",6
"72",4,5,73,"Pulling","Expert","DurationForce",9
"73",4,6,74,"Pulling","Expert","DurationForce",6
"74",4,7,75,"Manipulation","Expert","DurationForce",10
"75",4,8,76,"Pulling","Expert","DurationForce",12
"76",4,9,77,"Pulling","Expert","DurationForce",10
"77",4,10,78,"Manipulation","Expert","DurationForce",5
"78",5,1,79,"Coagulation","Expert","DurationForce",12
"79",5,2,80,"Coagulation","Expert","DurationForce",7
"80",5,3,81,"Coagulation","Expert","DurationForce",6
"81",5,4,82,"Coagulation","Expert","DurationForce",4
"82",5,5,83,"Coagulation","Expert","DurationForce",5
"83",5,6,84,"Coagulation","Expert","DurationForce",5
"84",5,7,85,"Coagulation","Expert","DurationForce",7
"85",5,8,86,"Coagulation","Expert","DurationForce",14
"86",5,9,87,"Coagulation","Expert","DurationForce",22
"87",5,10,88,"Coagulation","Novice","DurationForce",11
"88",5,11,89,"Coagulation","Novice","DurationForce",14
"89",5,12,90,"Coagulation","Novice","DurationForce",8
"90",5,13,91,"Manipulation","Expert","DurationForce",6
"91",5,14,92,"Manipulation","Expert","DurationForce",4
"92",5,15,93,"Coagulation","Expert","DurationForce",48
"93",5,16,94,"Coagulation","Novice","DurationForce",13
"94",5,17,95,"Coagulation","Novice","DurationForce",12
"95",5,18,96,"Coagulation","Novice","DurationForce",11
"96",5,19,97,"Coagulation","Novice","DurationForce",6
"97",5,20,98,"Manipulation","Novice","DurationForce",19
"98",5,21,99,"Coagulation","Novice","DurationForce",10
"99",5,23,101,"Coagulation","Novice","DurationForce",6
"100",5,24,102,"Manipulation","Novice","DurationForce",17
"101",5,25,103,"Coagulation","Novice","DurationForce",14
"102",5,26,104,"Manipulation","Novice","DurationForce",6
"103",5,27,105,"Manipulation","Novice","DurationForce",5
"104",5,28,106,"Coagulation","Novice","DurationForce",8
"105",5,29,107,"Coagulation","Novice","DurationForce",23
"106",5,30,108,"Coagulation","Novice","DurationForce",11
"107",5,31,109,"Coagulation","Novice","DurationForce",26
"108",5,32,110,"Coagulation","Novice","DurationForce",7
"109",5,33,111,"Coagulation","Expert","DurationForce",5
"110",5,34,112,"Coagulation","Expert","DurationForce",11
"111",5,35,113,"Coagulation","Expert","DurationForce",5
"112",5,36,114,"Coagulation","Expert","DurationForce",22
"113",5,37,115,"Manipulation","Expert","DurationForce",4
"114",5,38,116,"Manipulation","Expert","DurationForce",3
"115",5,39,117,"Coagulation","Expert","DurationForce",18
"116",5,40,118,"Coagulation","Novice","DurationForce",40
"117",5,41,119,"Coagulation","Novice","DurationForce",56
"118",5,42,120,"Coagulation","Novice","DurationForce",4
"119",5,43,121,"Coagulation","Novice","DurationForce",28
"120",5,44,122,"Coagulation","Novice","DurationForce",27
"121",5,45,123,"Coagulation","Expert","DurationForce",34
"122",5,46,124,"Coagulation","Expert","DurationForce",25
"123",5,47,125,"Manipulation","Expert","DurationForce",5
"124",5,48,126,"Manipulation","Expert","DurationForce",5
"125",5,49,127,"Manipulation","Expert","DurationForce",4
"126",5,50,128,"Coagulation","Expert","DurationForce",18
"127",5,51,129,"Coagulation","Expert","DurationForce",25
"128",5,52,130,"Coagulation","Expert","DurationForce",17
"129",5,53,131,"Coagulation","Expert","DurationForce",4
"130",5,54,132,"Coagulation","Expert","DurationForce",30
"131",5,55,133,"Coagulation","Novice","DurationForce",26
"132",5,56,134,"Coagulation","Novice","DurationForce",20
"133",5,57,135,"Coagulation","Novice","DurationForce",16
"134",5,58,136,"Coagulation","Novice","DurationForce",19
"135",5,59,137,"Coagulation","Expert","DurationForce",8
"136",5,60,138,"Coagulation","Expert","DurationForce",8
"137",5,61,139,"Manipulation","Expert","DurationForce",3
"138",5,62,140,"Manipulation","Expert","DurationForce",3
"139",5,63,141,"Coagulation","Expert","DurationForce",9
"140",5,64,142,"Coagulation","Expert","DurationForce",12
"141",5,65,143,"Coagulation","Expert","DurationForce",13
"142",5,66,144,"Manipulation","Expert","DurationForce",2
"143",5,67,145,"Manipulation","Expert","DurationForce",2
"144",5,68,146,"Coagulation","Novice","DurationForce",10
"145",5,69,147,"Coagulation","Novice","DurationForce",33
"146",5,70,148,"Coagulation","Novice","DurationForce",10
"147",5,71,149,"Coagulation","Novice","DurationForce",49
"148",5,72,150,"Coagulation","Novice","DurationForce",13
"149",5,73,151,"Coagulation","Novice","DurationForce",8
"150",5,74,152,"Coagulation","Novice","DurationForce",22
"151",5,75,153,"Coagulation","Novice","DurationForce",10
"152",5,76,154,"Coagulation","Novice","DurationForce",14
"153",5,77,155,"Coagulation","Expert","DurationForce",12
"154",5,78,156,"Coagulation","Expert","DurationForce",23
"155",5,79,157,"Coagulation","Expert","DurationForce",23
"156",5,80,158,"Manipulation","Expert","DurationForce",5
"157",5,81,159,"Coagulation","Expert","DurationForce",6
"158",5,82,160,"Coagulation","Expert","DurationForce",14
"159",5,83,161,"Manipulation","Expert","DurationForce",3
"160",5,84,162,"Coagulation","Expert","DurationForce",32
"161",5,85,163,"Manipulation","Expert","DurationForce",6
"162",5,86,164,"Coagulation","Expert","DurationForce",35
"163",5,87,165,"Coagulation","Expert","DurationForce",19
"164",5,88,166,"Coagulation","Expert","DurationForce",3
"165",5,89,167,"Coagulation","Expert","DurationForce",13
"166",5,90,168,"Coagulation","Expert","DurationForce",20
"167",5,91,169,"Manipulation","Expert","DurationForce",6
"168",5,92,170,"Coagulation","Expert","DurationForce",25
"169",5,93,171,"Coagulation","Expert","DurationForce",16
"170",5,94,172,"Coagulation","Expert","DurationForce",16
"171",5,95,173,"Coagulation","Expert","DurationForce",8
"172",5,96,174,"Coagulation","Expert","DurationForce",16
"173",5,97,175,"Coagulation","Expert","DurationForce",13
"174",5,98,176,"Manipulation","Expert","DurationForce",4
"175",5,99,177,"Manipulation","Expert","DurationForce",2
"176",5,100,178,"Manipulation","Expert","DurationForce",2
"177",5,101,179,"Manipulation","Expert","DurationForce",4
"178",5,102,180,"Manipulation","Expert","DurationForce",4
"179",5,103,181,"Manipulation","Expert","DurationForce",3
"180",5,104,182,"Manipulation","Expert","DurationForce",4
"181",5,105,183,"Coagulation","Expert","DurationForce",12
"182",5,106,184,"Manipulation","Expert","DurationForce",2
"183",5,107,185,"Manipulation","Expert","DurationForce",5
"184",5,108,186,"Coagulation","Expert","DurationForce",35
"185",5,109,187,"Manipulation","Expert","DurationForce",6
"186",5,110,188,"Coagulation","Expert","DurationForce",13
"187",5,111,189,"Coagulation","Expert","DurationForce",21
"188",5,112,190,"Coagulation","Expert","DurationForce",13
"189",5,113,191,"Coagulation","Expert","DurationForce",18
"190",5,114,192,"Coagulation","Expert","DurationForce",11
"191",5,115,193,"Coagulation","Expert","DurationForce",4
"192",5,116,194,"Manipulation","Expert","DurationForce",4
"193",5,117,195,"Manipulation","Expert","DurationForce",4
"194",5,118,196,"Manipulation","Expert","DurationForce",2
"195",5,119,197,"Coagulation","Expert","DurationForce",11
"196",5,120,198,"Coagulation","Expert","DurationForce",7
"197",5,121,199,"Manipulation","Expert","DurationForce",4
"198",5,122,200,"Coagulation","Expert","DurationForce",24
"199",5,123,201,"Coagulation","Expert","DurationForce",7
"200",5,124,202,"Manipulation","Expert","DurationForce",4
"201",5,125,203,"Manipulation","Expert","DurationForce",4
"202",5,126,204,"Manipulation","Expert","DurationForce",5
"203",5,127,205,"Manipulation","Expert","DurationForce",3
"204",5,128,206,"Manipulation","Expert","DurationForce",7
"205",5,129,207,"Manipulation","Expert","DurationForce",6
"206",5,130,208,"Manipulation","Expert","DurationForce",5
"207",5,131,209,"Manipulation","Expert","DurationForce",3
"208",5,132,210,"Coagulation","Expert","DurationForce",5
"209",5,133,211,"Coagulation","Expert","DurationForce",5
"210",5,134,212,"Coagulation","Expert","DurationForce",18
"211",5,135,213,"Manipulation","Expert","DurationForce",11
"212",5,136,214,"Manipulation","Expert","DurationForce",8
"213",5,137,215,"Manipulation","Expert","DurationForce",17
"214",5,138,216,"Manipulation","Expert","DurationForce",6
"215",5,139,217,"Coagulation","Expert","DurationForce",8
"216",5,140,218,"Manipulation","Expert","DurationForce",6
"217",5,141,219,"Manipulation","Expert","DurationForce",7
"218",5,142,220,"Manipulation","Expert","DurationForce",4
"219",5,143,221,"Manipulation","Expert","DurationForce",3
"220",5,144,222,"Manipulation","Expert","DurationForce",4
"221",5,145,223,"Manipulation","Expert","DurationForce",2
"222",5,146,224,"Manipulation","Expert","DurationForce",6
"223",5,147,225,"Manipulation","Expert","DurationForce",6
"224",5,148,226,"Manipulation","Expert","DurationForce",4
"225",5,149,227,"Manipulation","Expert","DurationForce",4
"226",5,150,228,"Coagulation","Expert","DurationForce",19
"227",5,151,229,"Manipulation","Expert","DurationForce",2
"228",5,152,230,"Coagulation","Expert","DurationForce",20
"229",5,153,231,"Coagulation","Expert","DurationForce",10
"230",5,154,232,"Coagulation","Novice","DurationForce",8
"231",5,156,234,"Coagulation","Novice","DurationForce",17
"232",6,1,235,"Coagulation","Expert","DurationForce",8
"233",6,2,236,"Coagulation","Expert","DurationForce",10
"234",6,3,237,"Coagulation","Novice","DurationForce",8
"235",6,4,238,"Coagulation","Expert","DurationForce",7
"236",6,5,239,"Coagulation","Expert","DurationForce",8
"237",6,6,240,"Coagulation","Expert","DurationForce",13
"238",6,7,241,"Coagulation","Expert","DurationForce",8
"239",6,8,242,"Coagulation","Expert","DurationForce",17
"240",6,9,243,"Coagulation","Expert","DurationForce",14
"241",6,10,244,"Coagulation","Expert","DurationForce",14
"242",6,11,245,"Coagulation","Expert","DurationForce",11
"243",6,12,246,"Coagulation","Expert","DurationForce",13
"244",6,13,247,"Coagulation","Expert","DurationForce",7
"245",6,14,248,"Coagulation","Expert","DurationForce",9
"246",6,15,249,"Coagulation","Expert","DurationForce",8
"247",6,16,250,"Coagulation","Expert","DurationForce",11
"248",6,17,251,"Coagulation","Expert","DurationForce",11
"249",6,18,252,"Coagulation","Expert","DurationForce",13
"250",6,19,253,"Coagulation","Expert","DurationForce",25
"251",6,20,254,"Coagulation","Expert","DurationForce",12
"252",6,21,255,"Coagulation","Expert","DurationForce",11
"253",6,22,256,"Coagulation","Expert","DurationForce",5
"254",6,23,257,"Coagulation","Novice","DurationForce",30
"255",6,24,258,"Coagulation","Expert","DurationForce",10
"256",6,25,259,"Coagulation","Expert","DurationForce",29
"257",6,26,260,"Coagulation","Expert","DurationForce",46
"258",6,27,261,"Coagulation","Expert","DurationForce",9
"259",6,28,262,"Coagulation","Expert","DurationForce",11
"260",6,29,263,"Coagulation","Expert","DurationForce",28
"261",6,30,264,"Coagulation","Expert","DurationForce",23
"262",6,31,265,"Coagulation","Expert","DurationForce",7
"263",6,32,266,"Coagulation","Expert","DurationForce",7
"264",6,33,267,"Coagulation","Expert","DurationForce",3
"265",6,34,268,"Coagulation","Expert","DurationForce",11
"266",6,35,269,"Coagulation","Expert","DurationForce",7
"267",6,37,271,"Coagulation","Expert","DurationForce",7
"268",6,38,272,"Coagulation","Expert","DurationForce",6
"269",6,39,273,"Manipulation","Expert","DurationForce",3
"270",6,40,274,"Coagulation","Expert","DurationForce",4
"271",6,41,275,"Coagulation","Expert","DurationForce",7
"272",6,42,276,"Coagulation","Expert","DurationForce",27
"273",6,43,277,"Coagulation","Expert","DurationForce",6
"274",6,44,278,"Coagulation","Expert","DurationForce",34
"275",6,45,279,"Coagulation","Expert","DurationForce",5
"276",6,46,280,"Coagulation","Expert","DurationForce",12
"277",6,47,281,"Coagulation","Expert","DurationForce",9
"278",6,48,282,"Coagulation","Expert","DurationForce",17
"279",6,49,283,"Coagulation","Expert","DurationForce",17
"280",6,50,284,"Coagulation","Novice","DurationForce",7
"281",6,51,285,"Coagulation","Novice","DurationForce",11
"282",6,52,286,"Coagulation","Expert","DurationForce",36
"283",6,53,287,"Coagulation","Expert","DurationForce",23
"284",6,54,288,"Coagulation","Expert","DurationForce",10
"285",6,55,289,"Coagulation","Expert","DurationForce",20
"286",6,56,290,"Manipulation","Expert","DurationForce",6
"287",6,57,291,"Coagulation","Expert","DurationForce",11
"288",6,58,292,"Coagulation","Expert","DurationForce",8
"289",6,59,293,"Coagulation","Expert","DurationForce",9
"290",6,60,294,"Coagulation","Expert","DurationForce",12
"291",6,61,295,"Coagulation","Expert","DurationForce",9
"292",6,62,296,"Coagulation","Expert","DurationForce",4
"293",6,63,297,"Dissecting","Expert","DurationForce",35
"294",6,65,299,"Dissecting","Expert","DurationForce",17
"295",6,66,300,"Manipulation","Expert","DurationForce",5
"296",6,67,301,"Manipulation","Expert","DurationForce",5
"297",6,68,302,"Coagulation","Expert","DurationForce",7
"298",6,69,303,"Coagulation","Expert","DurationForce",19
"299",6,70,304,"Coagulation","Expert","DurationForce",24
"300",6,71,305,"Pulling","Expert","DurationForce",5
"301",6,72,306,"Coagulation","Expert","DurationForce",11
"302",6,73,307,"Dissecting","Expert","DurationForce",30
"303",6,74,308,"Pulling","Expert","DurationForce",5
"304",6,75,309,"Manipulation","Expert","DurationForce",5
"305",6,76,310,"Coagulation","Expert","DurationForce",14
"306",6,77,311,"Coagulation","Expert","DurationForce",18
"307",6,78,312,"Coagulation","Expert","DurationForce",10
"308",6,79,313,"Coagulation","Expert","DurationForce",13
"309",6,80,314,"Coagulation","Expert","DurationForce",9
"310",6,81,315,"Coagulation","Expert","DurationForce",10
"311",6,82,316,"Coagulation","Expert","DurationForce",9
"312",6,83,317,"Manipulation","Expert","DurationForce",5
"313",6,84,318,"Manipulation","Expert","DurationForce",7
"314",6,85,319,"Dissecting","Expert","DurationForce",24
"315",6,86,320,"Coagulation","Expert","DurationForce",9
"316",6,87,321,"Manipulation","Expert","DurationForce",6
"317",6,88,322,"Manipulation","Expert","DurationForce",5
"318",6,89,323,"Coagulation","Expert","DurationForce",24
"319",6,90,324,"Coagulation","Expert","DurationForce",18
"320",6,91,325,"Coagulation","Expert","DurationForce",19
"321",6,92,326,"Coagulation","Expert","DurationForce",13
"322",6,93,327,"Coagulation","Expert","DurationForce",18
"323",6,94,328,"Coagulation","Expert","DurationForce",36
"324",6,95,329,"Coagulation","Expert","DurationForce",54
"325",6,96,330,"Manipulation","Expert","DurationForce",6
"326",6,98,332,"Coagulation","Expert","DurationForce",13
"327",6,99,333,"Coagulation","Expert","DurationForce",24
"328",6,100,334,"Pulling","Expert","DurationForce",11
"329",6,101,335,"Coagulation","Expert","DurationForce",10
"330",6,102,336,"Coagulation","Expert","DurationForce",27
"331",6,103,337,"Coagulation","Expert","DurationForce",20
"332",6,104,338,"Coagulation","Expert","DurationForce",12
"333",6,105,339,"Coagulation","Expert","DurationForce",11
"334",6,106,340,"Manipulation","Expert","DurationForce",5
"335",6,107,341,"Coagulation","Expert","DurationForce",13
"336",6,108,342,"Coagulation","Expert","DurationForce",10
"337",6,109,343,"Manipulation","Expert","DurationForce",6
"338",6,110,344,"Coagulation","Expert","DurationForce",16
"339",6,111,345,"Coagulation","Expert","DurationForce",22
"340",6,112,346,"Coagulation","Expert","DurationForce",18
"341",6,113,347,"Coagulation","Expert","DurationForce",7
"342",6,114,348,"Coagulation","Expert","DurationForce",16
"343",6,115,349,"Coagulation","Expert","DurationForce",25
"344",6,116,350,"Coagulation","Expert","DurationForce",9
"345",6,117,351,"Manipulation","Expert","DurationForce",13
"346",6,118,352,"Coagulation","Expert","DurationForce",5
"347",6,119,353,"Coagulation","Expert","DurationForce",4
"348",6,120,354,"Coagulation","Expert","DurationForce",12
"349",6,121,355,"Manipulation","Expert","DurationForce",5
"350",6,122,356,"Coagulation","Expert","DurationForce",13
"351",6,123,357,"Manipulation","Expert","DurationForce",6
"352",6,124,358,"Manipulation","Expert","DurationForce",5
"353",6,125,359,"Manipulation","Expert","DurationForce",8
"354",6,126,360,"Coagulation","Expert","DurationForce",11
"355",7,1,361,"Coagulation","Expert","DurationForce",5
"356",7,2,362,"Coagulation","Expert","DurationForce",10
"357",7,3,363,"Coagulation","Expert","DurationForce",7
"358",7,4,364,"Coagulation","Novice","DurationForce",4
"359",7,5,365,"Coagulation","Novice","DurationForce",14
"360",7,6,366,"Coagulation","Novice","DurationForce",6
"361",7,7,367,"Coagulation","Novice","DurationForce",14
"362",7,8,368,"Coagulation","Novice","DurationForce",18
"363",7,9,369,"Coagulation","Novice","DurationForce",8
"364",7,10,370,"Coagulation","Novice","DurationForce",11
"365",7,11,371,"Coagulation","Novice","DurationForce",13
"366",7,12,372,"Coagulation","Novice","DurationForce",47
"367",7,13,373,"Coagulation","Novice","DurationForce",25
"368",7,14,374,"Coagulation","Expert","DurationForce",24
"369",7,15,375,"Coagulation","Novice","DurationForce",36
"370",7,16,376,"Coagulation","Novice","DurationForce",68
"371",7,17,377,"Coagulation","Novice","DurationForce",16
"372",7,18,378,"Coagulation","Expert","DurationForce",17
"373",7,19,379,"Coagulation","Expert","DurationForce",33
"374",7,20,380,"Coagulation","Novice","DurationForce",27
"375",7,21,381,"Coagulation","Novice","DurationForce",20
"376",7,22,382,"Coagulation","Novice","DurationForce",5
"377",7,23,383,"Coagulation","Novice","DurationForce",17
"378",7,24,384,"Coagulation","Novice","DurationForce",21
"379",7,25,385,"Coagulation","Novice","DurationForce",48
"380",7,27,387,"Coagulation","Expert","DurationForce",44
"381",7,29,389,"Dissecting","Expert","DurationForce",32
"382",7,30,390,"Manipulation","Novice","DurationForce",8
"383",7,31,391,"Manipulation","Novice","DurationForce",10
"384",7,32,392,"Retracting","Expert","DurationForce",7
"385",7,33,393,"Dissecting","Expert","DurationForce",35
"386",7,34,394,"Manipulation","Expert","DurationForce",4
"387",7,35,395,"Coagulation","Novice","DurationForce",64
"388",7,36,396,"Coagulation","Novice","DurationForce",6
"389",7,37,397,"Coagulation","Novice","DurationForce",5
"390",7,38,398,"Coagulation","Novice","DurationForce",16
"391",7,39,399,"Coagulation","Novice","DurationForce",33
"392",7,40,400,"Coagulation","Expert","DurationForce",10
"393",7,41,401,"Retracting","Expert","DurationForce",14
"394",7,42,402,"Coagulation","Expert","DurationForce",5
"395",7,43,403,"Retracting","Expert","DurationForce",13
"396",7,44,404,"Coagulation","Expert","DurationForce",9
"397",7,45,405,"Coagulation","Expert","DurationForce",5
"398",7,46,406,"Coagulation","Expert","DurationForce",35
"399",7,48,408,"Coagulation","Novice","DurationForce",31
"400",7,49,409,"Coagulation","Novice","DurationForce",40
"401",7,50,410,"Coagulation","Novice","DurationForce",18
"402",7,51,411,"Dissecting","Novice","DurationForce",28
"403",7,52,412,"Coagulation","Novice","DurationForce",15
"404",7,53,413,"Coagulation","Novice","DurationForce",18
"405",7,54,414,"Coagulation","Novice","DurationForce",32
"406",7,55,415,"Dissecting","Novice","DurationForce",4
"407",7,56,416,"Dissecting","Novice","DurationForce",9
"408",7,57,417,"Coagulation","Novice","DurationForce",26
"409",7,58,418,"Coagulation","Novice","DurationForce",14
"410",7,59,419,"Coagulation","Novice","DurationForce",41
"411",7,60,420,"Coagulation","Novice","DurationForce",37
"412",7,61,421,"Manipulation","Expert","DurationForce",5
"413",7,62,422,"Manipulation","Expert","DurationForce",6
"414",7,63,423,"Coagulation","Expert","DurationForce",15
"415",7,64,424,"Coagulation","Expert","DurationForce",7
"416",7,65,425,"Coagulation","Expert","DurationForce",4
"417",7,66,426,"Coagulation","Expert","DurationForce",5
"418",7,67,427,"Coagulation","Novice","DurationForce",26
"419",7,68,428,"Coagulation","Novice","DurationForce",7
"420",7,69,429,"Coagulation","Novice","DurationForce",4
"421",7,70,430,"Coagulation","Novice","DurationForce",10
"422",7,71,431,"Coagulation","Expert","DurationForce",9
"423",7,72,432,"Coagulation","Expert","DurationForce",15
"424",7,73,433,"Coagulation","Expert","DurationForce",22
"425",7,74,434,"Manipulation","Expert","DurationForce",6
"426",7,75,435,"Coagulation","Novice","DurationForce",5
"427",7,76,436,"Manipulation","Expert","DurationForce",6
"428",7,77,437,"Coagulation","Expert","DurationForce",9
"429",7,78,438,"Coagulation","Novice","DurationForce",8
"430",8,1,439,"Coagulation","Novice","DurationForce",37
"431",8,2,440,"Coagulation","Novice","DurationForce",17
"432",8,3,441,"Coagulation","Novice","DurationForce",35
"433",8,4,442,"Coagulation","Novice","DurationForce",9
"434",8,5,443,"Coagulation","Novice","DurationForce",9
"435",8,6,444,"Coagulation","Novice","DurationForce",30
"436",8,7,445,"Coagulation","Expert","DurationForce",20
"437",8,8,446,"Coagulation","Expert","DurationForce",25
"438",8,9,447,"Coagulation","Novice","DurationForce",42
"439",8,10,448,"Coagulation","Novice","DurationForce",30
"440",8,11,449,"Coagulation","Novice","DurationForce",23
"441",8,12,450,"Coagulation","Novice","DurationForce",28
"442",8,13,451,"Coagulation","Novice","DurationForce",19
"443",8,14,452,"Coagulation","Novice","DurationForce",12
"444",8,15,453,"Coagulation","Novice","DurationForce",17
"445",8,16,454,"Coagulation","Novice","DurationForce",48
"446",8,17,455,"Coagulation","Novice","DurationForce",14
"447",8,18,456,"Coagulation","Novice","DurationForce",12
"448",8,19,457,"Coagulation","Novice","DurationForce",21
"449",8,20,458,"Coagulation","Novice","DurationForce",24
"450",8,21,459,"Coagulation","Novice","DurationForce",13
"451",8,22,460,"Coagulation","Novice","DurationForce",18
"452",8,23,461,"Coagulation","Novice","DurationForce",27
"453",8,24,462,"Coagulation","Novice","DurationForce",7
"454",8,25,463,"Coagulation","Novice","DurationForce",27
"455",8,26,464,"Coagulation","Novice","DurationForce",27
"456",8,27,465,"Coagulation","Novice","DurationForce",47
"457",8,28,466,"Coagulation","Novice","DurationForce",10
"458",8,29,467,"Coagulation","Novice","DurationForce",18
"459",8,30,468,"Coagulation","Novice","DurationForce",39
"460",8,31,469,"Coagulation","Novice","DurationForce",31
"461",8,32,470,"Coagulation","Novice","DurationForce",12
"462",8,33,471,"Coagulation","Novice","DurationForce",11
"463",8,34,472,"Coagulation","Novice","DurationForce",36
"464",8,35,473,"Coagulation","Novice","DurationForce",33
"465",8,36,474,"Coagulation","Novice","DurationForce",35
"466",8,37,475,"Coagulation","Novice","DurationForce",18
"467",8,38,476,"Coagulation","Novice","DurationForce",8
"468",8,39,477,"Coagulation","Novice","DurationForce",14
"469",8,40,478,"Coagulation","Novice","DurationForce",11
"470",8,41,479,"Coagulation","Novice","DurationForce",26
"471",8,42,480,"Coagulation","Novice","DurationForce",23
"472",8,43,481,"Coagulation","Novice","DurationForce",18
"473",8,44,482,"Coagulation","Novice","DurationForce",16
"474",8,45,483,"Coagulation","Novice","DurationForce",16
"475",8,46,484,"Manipulation","Novice","DurationForce",9
"476",8,47,485,"Coagulation","Novice","DurationForce",21
"477",8,48,486,"Coagulation","Novice","DurationForce",33
"478",8,49,487,"Coagulation","Novice","DurationForce",18
"479",8,50,488,"Coagulation","Novice","DurationForce",20
"480",8,51,489,"Coagulation","Novice","DurationForce",13
"481",8,52,490,"Coagulation","Novice","DurationForce",12
"482",8,53,491,"Coagulation","Novice","DurationForce",12
"483",8,54,492,"Coagulation","Novice","DurationForce",13
"484",8,55,493,"Coagulation","Novice","DurationForce",16
"485",8,56,494,"Manipulation","Novice","DurationForce",15
"486",8,57,495,"Coagulation","Novice","DurationForce",5
"487",8,58,496,"Coagulation","Novice","DurationForce",4
"488",8,59,497,"Coagulation","Novice","DurationForce",7
"489",8,60,498,"Coagulation","Novice","DurationForce",12
"490",8,61,499,"Coagulation","Novice","DurationForce",29
"491",8,62,500,"Coagulation","Novice","DurationForce",24
"492",8,63,501,"Coagulation","Novice","DurationForce",27
"493",8,64,502,"Coagulation","Expert","DurationForce",22
"494",8,65,503,"Coagulation","Expert","DurationForce",24
"495",8,66,504,"Coagulation","Expert","DurationForce",16
"496",8,67,505,"Coagulation","Expert","DurationForce",15
"497",8,68,506,"Coagulation","Expert","DurationForce",21
